,word1,word2,similarity,w2v
701,power,skill,3.16,0.20229436
702,prayer,request,3.36,0.1620506
703,problem,trouble,4.608695652,0.5327074
704,process,rule,2.5,0.18738872
705,process,tail,1.12,0.044570856
706,product,wear,2.041666667,0.02219626
707,property,texture,2.0,0.035217058
708,protection,roof,3.708333333,0.10772878
709,protocol,rule,4.090909091,0.3302033
710,publication,textbook,3.428571429,0.23540466
711,pumpkin,vine,2.409090909,0.39584646
712,pupil,student,4.523809524,0.512326
713,pyramid,speculation,1.7,0.0055767545
714,query,question,4.739130435,0.5472871
715,quiet,silence,4.909090909,0.4479717
716,racer,taxi,2.19047619,0.085311
717,radio,receiver,3.807692308,0.22807457
718,rain,storm,3.958333333,0.46110266
719,ray,shark,2.545454545,0.158805
720,recreation,skiing,3.090909091,0.3508871
721,red,wine,3.4,0.19148459
722,report,study,3.875,0.47369313
723,representative,voice,2.875,0.24272849
724,ring,water,1.333333333,0.04684194
725,rise,travel,1.608695652,0.09957276
726,rock,stone,4.476190476,0.37510186
727,roll,toast,2.826086957,0.23041533
728,root,stem,3.666666667,0.37598932
729,rub,wipe,4.227272727,0.37516922
730,rubber,stuff,2.1,0.15342657
731,rugby,soccer,3.260869565,0.47839552
732,sail,sheet,2.083333333,0.08471324
733,scandal,week,1.086956522,0.098197445
734,science,shelter,1.136363636,0.077227086
735,score,success,3.208333333,0.2039032
736,season,summer,4.045454545,0.54524213
737,season,winter,4.347826087,0.47219107
738,second,time,4.217391304,0.29564726
739,seminar,sweet,1.202898551,-0.015672054
740,sex,stance,1.476190476,0.049970582
741,share,stake,3.208333333,0.31010395
742,shelter,tent,4.25,0.37823036
743,shelter,wind,2.641791045,0.13277563
744,shirt,tiger,1.038461538,0.10913132
745,side,slope,3.08,0.36629847
746,sight,vision,4.818181818,0.34345743
747,simulation,theory,2.227272727,0.2348046
748,skull,tooth,2.590909091,0.5106143
749,slash,stroke,3.25,0.043747358
750,smash,success,2.791666667,0.16071025
751,snap,touch,2.038461538,0.26553568
752,software,writing,2.347826087,0.078087464
753,song,vocal,3.857142857,0.35347006
754,soup,spaghetti,3.0,0.5111918
755,soup,sweet,2.454545455,0.29220444
756,speech,word,4.045454545,0.2298788
757,steel,weapon,3.380952381,0.06618117
758,step,travel,2.086956522,0.113797575
759,step,walk,4.173913043,0.28858855
760,storm,weather,4.083333333,0.50321174
761,straight,stretch,3.291666667,0.3444349
762,sun,toy,1.25,0.014314207
763,tank,tub,3.52173913,0.32587302
764,taxpayer,window,1.21875,0.057783302
765,throne,toilet,1.956521739,0.11333771
766,ticket,writing,2.375,0.016153857
767,victory,watch,1.553191489,0.07631817
768,washer,worker,2.909090909,0.166694
769,wife,woman,3.884615385,0.444824
770,workplace,workshop,4.04,0.14502582
